[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCHES event found (hex code: 4000003a)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_BRANCH_MISSES event found (hex code: 4000003b)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_BRANCH_MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-MISSES event found (hex code: 4000003c)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_BUS_CYCLES event found (hex code: 4000003d)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_BUS_CYCLES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BUS-CYCLES event found (hex code: 4000003e)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BUS-CYCLES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_STALLED_CYCLES_FRONTEND event found (hex code: 4000003f)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_STALLED_CYCLES_FRONTEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::STALLED-CYCLES-FRONTEND event found (hex code: 40000040)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::STALLED-CYCLES-FRONTEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::IDLE-CYCLES-FRONTEND event found (hex code: 40000041)
